modelo,ruta,applicable,n_total_rows,n_valid_numeric,abs_error_mean,abs_error_median,abs_error_min,abs_error_max,abs_error_p25,abs_error_p75,pct_error_mean,pct_error_median,pct_error_min,pct_error_max,pct_error_p25,pct_error_p75,accuracy_test,loss_test
sulfato_3_datos_5_capas,modelos_sulfato\sulfato_3_datos_5_capas,True,7641,7641,4.07250490773459,2.6599999999999966,0.0,26.599999999999994,0.0,6.649999999999999,7.758219816607612,5.2631578947368345,0.0,53.333333333333336,0.0,12.5,0.36251798272132874,1.9476704597473145
sulfato_3_datos_5_capas_bfill,modelos_sulfato\sulfato_3_datos_5_capas_bfill,True,7641,7641,4.669708153383064,2.6600000000000037,0.0,27.930000000000007,0.0,7.979999999999997,8.963288634968142,5.882352941176463,0.0,61.764705882352956,0.0,13.63636363636363,0.3305850028991699,1.9906350374221802
sulfato_base_2_capas,modelos_sulfato\sulfato_base_2_capas,True,7641,7641,4.037344588404659,2.6599999999999966,0.0,25.269999999999996,0.0,6.649999999999999,7.709596561336641,4.999999999999993,0.0,53.333333333333336,0.0,12.195121951219523,0.39065566658973694,1.8178467750549316
sulfato_base_2_capas_bfill,modelos_sulfato\sulfato_base_2_capas_bfill,True,7640,7640,4.238417539267015,2.6599999999999966,0.0,26.599999999999994,0.0,6.649999999999999,7.981742186805469,5.2631578947368345,0.0,53.333333333333336,0.0,13.04347826086957,0.37643977999687195,1.8451030254364014
sulfato_base_4_capas,modelos_sulfato\sulfato_base_4_capas,True,7641,7641,4.0923478602277195,2.6599999999999966,0.0,27.930000000000007,0.0,6.649999999999999,7.796081875949054,4.999999999999993,0.0,56.249999999999986,0.0,12.195121951219523,0.3778301179409027,1.87480628490448
sulfato_base_4_capas_bfill,modelos_sulfato\sulfato_base_4_capas_bfill,True,7640,7640,4.250777486910995,2.6599999999999966,0.0,26.599999999999994,0.0,6.650000000000006,8.02540620840279,5.2631578947368345,0.0,56.249999999999986,0.0,12.82051282051283,0.36609947681427,1.9056507349014282
