,39.900000000000006,41.230000000000004,42.56,43.89,45.22,46.550000000000004,47.88,49.21,50.540000000000006,51.870000000000005,53.2,54.53,55.86,57.190000000000005,58.52,59.85,61.18000000000001,62.510000000000005,63.84,65.17,66.5,67.83,69.16,70.49000000000001,73.15
39.900000000000006,174,0,74,0,25,0,2,0,11,0,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0
41.230000000000004,0,0,20,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42.56,55,0,634,0,33,0,31,0,32,0,56,10,21,0,0,5,33,0,0,0,0,0,0,0,0
43.89,6,0,1,0,10,0,0,0,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0
45.22,33,0,117,0,160,0,32,0,39,1,140,7,58,6,5,15,22,2,3,0,9,0,0,0,0
46.550000000000004,1,0,8,0,13,1,0,0,10,0,8,0,6,0,6,0,2,0,1,0,1,0,0,0,0
47.88,20,0,90,0,27,0,101,0,42,0,84,20,108,0,0,7,20,0,2,0,2,0,0,0,0
49.21,0,0,7,0,13,0,0,12,11,0,23,0,9,0,18,1,27,0,1,0,9,0,0,0,0
50.540000000000006,10,0,107,0,20,0,16,0,300,0,287,10,127,3,2,5,10,0,1,0,4,0,0,0,0
51.870000000000005,1,0,8,0,3,0,13,0,2,2,32,8,18,1,0,0,2,0,0,0,0,0,0,0,0
53.2,8,0,60,0,20,0,16,2,89,2,542,10,112,0,13,41,24,0,32,0,15,0,0,0,0
54.53,1,0,21,0,0,1,14,0,7,0,35,59,23,3,0,0,2,0,0,0,1,0,0,0,0
55.86,2,0,54,0,11,0,46,6,75,2,157,8,407,2,10,44,33,1,10,0,6,0,0,0,0
57.190000000000005,0,0,67,0,3,0,15,0,17,0,61,7,30,5,0,10,29,0,0,0,5,0,0,0,0
58.52,0,0,0,0,13,2,5,9,40,0,108,6,114,0,48,45,18,2,15,0,11,0,0,0,0
59.85,0,0,0,0,0,0,1,0,9,0,14,0,27,1,10,109,1,5,2,0,6,0,0,0,0
61.18000000000001,1,0,76,0,18,3,12,4,34,1,127,7,91,3,30,16,70,1,37,0,17,0,0,0,0
62.510000000000005,0,0,3,0,0,0,4,0,3,0,5,0,14,3,7,18,11,3,7,0,21,0,0,0,0
63.84,0,0,0,0,0,0,0,1,4,0,41,0,23,0,10,38,16,2,98,0,31,0,0,0,0
65.17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
66.5,0,0,2,0,0,0,3,1,4,0,49,0,18,2,6,1,12,3,27,0,45,0,0,0,0
67.83,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
69.16,0,0,1,0,0,0,0,0,0,0,12,0,1,0,12,0,0,0,2,0,3,0,0,0,0
70.49000000000001,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0
73.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,5,0,0,0,0
