,39.900000000000006,41.230000000000004,42.56,43.89,45.22,46.550000000000004,47.88,49.21,50.540000000000006,51.870000000000005,53.2,54.53,55.86,57.190000000000005,58.52,59.85,61.18000000000001,62.510000000000005,63.84,65.17,66.5,67.83,69.16,70.49000000000001,73.15
39.900000000000006,138,0,91,1,48,0,0,0,11,0,4,0,1,1,0,0,3,0,0,0,0,0,0,0,0
41.230000000000004,0,3,17,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42.56,40,2,660,0,65,0,6,5,44,0,9,13,23,14,2,0,23,0,4,0,0,0,0,0,0
43.89,2,0,5,1,7,0,0,1,1,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0
45.22,17,0,122,2,266,3,10,4,75,0,54,9,34,5,5,7,13,2,13,0,8,0,0,0,0
46.550000000000004,2,0,5,0,11,6,0,6,7,0,9,1,3,0,1,0,2,0,0,0,4,0,0,0,0
47.88,18,0,109,0,92,0,59,4,70,0,47,18,61,17,4,1,12,5,6,0,1,0,0,0,0
49.21,0,0,14,0,4,6,0,38,12,0,23,2,7,0,4,0,11,2,4,0,4,0,0,0,0
50.540000000000006,12,0,116,0,78,0,7,4,399,0,111,12,97,13,18,1,21,0,6,0,7,0,0,0,0
51.870000000000005,2,0,10,0,13,0,2,0,5,0,8,16,25,3,0,0,6,0,0,0,0,0,0,0,0
53.2,6,0,111,0,49,0,11,4,141,0,395,11,99,23,27,11,29,1,50,0,13,0,5,0,0
54.53,4,0,19,0,9,1,4,0,6,1,24,70,15,6,1,0,6,0,1,0,0,0,0,0,0
55.86,2,0,91,0,32,3,11,17,109,0,87,13,375,17,35,17,24,6,30,0,5,0,0,0,0
57.190000000000005,5,0,63,0,16,0,1,0,29,0,24,14,21,54,1,3,11,0,4,0,3,0,0,0,0
58.52,0,0,15,1,21,7,3,9,58,3,82,9,71,11,54,14,15,18,42,0,3,0,0,0,0
59.85,2,0,1,0,17,0,3,0,6,0,14,0,24,1,7,69,2,8,28,0,3,0,0,0,0
61.18000000000001,3,0,83,0,38,4,7,7,70,1,60,10,68,17,11,6,74,5,80,0,4,0,0,0,0
62.510000000000005,0,0,5,0,4,0,2,0,4,0,8,0,3,6,5,5,2,13,27,0,14,0,0,0,0
63.84,0,0,0,0,3,0,0,2,16,0,35,0,17,3,11,5,8,6,146,0,12,0,0,0,0
65.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
66.5,1,0,4,0,1,0,2,1,15,0,29,1,10,7,2,0,7,0,34,0,54,0,5,0,0
67.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
69.16,0,0,1,0,1,0,1,0,0,0,7,0,6,0,6,0,0,0,3,0,4,0,2,0,0
70.49000000000001,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0
73.15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,5,0,0,0,0
